Row Labels,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,Grand Total
E09000001,563,1492,433,347,587,1944,2579,7945
E09000002,2687,2122,1399,3100,2672,1130,1066,14176
E09000003,2356,1828,890,219,615,130,503,6541
E09000004,505,627,732,399,262,439,327,3291
E09000005,6713,2232,3189,3926,3980,4366,7483,31889
E09000006,306,479,653,462,326,228,258,2712
E09000007,5541,5962,8281,4837,4719,4656,12671,46667
E09000008,31,108,460,712,1707,637,2684,6339
E09000009,6727,5679,6543,5521,6067,12688,5471,48696
E09000010,7262,3595,3269,4937,5292,10894,5855,41104
E09000011,6344,7482,13950,17667,6410,2188,1443,55484
E09000012,2332,1456,10495,8865,9494,5601,11172,49415
E09000013,6944,1719,1719,1632,1868,4857,2982,21721
E09000014,8817,4719,7633,8639,3615,5131,3171,41725
E09000015,1053,0,0,995,1354,1385,1622,6409
E09000016,13970,13762,13393,7404,8523,11748,10463,79263
E09000017,5120,4188,3101,0,620,3031,4393,20453
E09000018,1234,1030,994,2190,1865,2242,4334,13889
E09000019,6959,6167,8646,8172,8250,7878,7231,53303
E09000020,4773,5009,6353,6651,6308,9282,10165,48541
E09000021,0,0,0,0,0,0,3,3
E09000022,598,0,0,0,0,0,959,1557
E09000023,789,1083,1499,2627,2611,1454,1330,11393
E09000024,1279,1299,1305,6985,2542,6056,6299,25765
E09000025,9593,7283,10354,8620,10621,5155,3615,55241
E09000026,6114,6913,4778,6306,4319,2489,5670,36589
E09000027,2610,2291,2647,207,2133,3337,2615,15840
E09000028,0,1194,3776,1889,1476,1937,2255,12527
E09000029,1255,201,755,545,146,278,450,3630
E09000030,3251,4909,18057,17064,17494,14601,13316,88692
E09000031,17182,17049,17176,17361,12290,18459,17036,116553
E09000032,8226,5166,6674,4977,8547,9582,9735,52907
E09000033,8367,6636,6166,6380,3447,3876,7111,41983
Grand Total,149501,123680,165320,159636,140160,157679,166267,1062243
