webpage,id,slug,title,state,sharing,createdAt,updatedAt,licence,licence_notes,publisher,featured_dataset,author,author_email,maintainer,maintainer_email,update_frequency,odi-certificate,tags,topic-business-and-economy,topic-championing-london,topic-crime-and-community-safety,topic-demographics,topic-education,topic-employment-and-skills,topic-environment,topic-health,topic-housing,topic-art-and-culture,topic-london-2012,topic-planning,topic-sport,topic-transparency,topic-transport,topic-young-people,topic-income-poverty-welfare,parent,london_smallest_geography,london_bounding_box
https://data.london.gov.uk/dataset/low-emissions-project-diesel-vehicle-baseline,655eb956-3328-46a1-9938-636a9aa32598,low-emissions-project-diesel-vehicle-baseline,Mayor of London & Gnewt Cargo Electric Vehicle Trial,active,public,29-Nov-17,14-Jun-19,UK Open Government Licence (OGL v3),,Greater London Authority (GLA),,"Kizzian Owen, Project Manager, London Smart Cities Programme",kizzian.owen@london.gov.uk,"Kizzian Owen, Project Manager, London Smart Cities Programme",kizzian.owen@london.gov.uk,One off,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,,
https://data.london.gov.uk/dataset/code-of-statistics,75f7b64c-ef7e-4f45-9b03-6f194b6785b8,code-of-statistics,GLA Code of Statistics,active,public,09-Aug-18,14-Jun-19,Not Specified,,Greater London Authority (GLA),,GLA,Statistics@london.gov.uk,,,Monthly,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,,
https://data.london.gov.uk/dataset/migration-indicators,829b47cf-a563-4ae4-a2bd-02379ddc9bc4,migration-indicators,Migration indicators,active,public,13-Apr-18,13-Jun-19,Creative Commons Attribution,,Greater London Authority (GLA),,Demography,demography@london.gov.uk,Demography,demography@london.gov.uk,Quarterly,,"migration, indicators, immigration, emigration",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,Borough,
https://data.london.gov.uk/dataset/london-fire-brigade-mobilisation-records,c9a13535-f519-4a34-be92-99f5e90ff945,london-fire-brigade-mobilisation-records,London Fire Brigade Mobilisation Records,active,public,24-Sep-14,13-Jun-19,UK Open Government Licence (OGL v2),,London Fire Brigade,,LFB Information Management,data@london-fire.gov.uk,LFB Information Management,data@london-fire.gov.uk,Monthly,https://certificates.theodi.org/datasets/22728/certificate,"emergency-response, fire-brigade, incidents, fire, lfepa, lfb",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ed9dfa59-ec53-443f-a843-15b216b65288,Coordinates,London and surrounding area
https://data.london.gov.uk/dataset/london-fire-brigade-incident-records,e26c8de5-3cdc-40e7-af62-1cabefa00038,london-fire-brigade-incident-records,London Fire Brigade Incident Records,active,public,24-Sep-14,13-Jun-19,UK Open Government Licence (OGL v2),,London Fire Brigade,,LFB Information Management,data@london-fire.gov.uk,LFB Information Management,data@london-fire.gov.uk,Quarterly,https://certificates.theodi.org/datasets/22729/certificate,"fire, fire-brigade, incidents, emergency-response, lfb, lfepa",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ed9dfa59-ec53-443f-a843-15b216b65288,Coordinates,London and surrounding area
https://data.london.gov.uk/dataset/london-fire-brigade---whole-of-service-incident-summary-report,e87a443b-4ca5-436b-9095-122648145bb1,london-fire-brigade---whole-of-service-incident-summary-report,London Fire Brigade - Incidents Attended - Summary Report,active,public,01-Jun-16,13-Jun-19,UK Open Government Licence (OGL v3),,London Fire Brigade,,LFB Information Management,data@london-fire.gov.uk,LFB Information Management,data@london-fire.gov.uk,Quarterly,,"Fire, Incidents, Summary, LFB London Fire Brigade",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ed9dfa59-ec53-443f-a843-15b216b65288,Greater London,
https://data.london.gov.uk/dataset/home-fire-safety-visits-by-london-borough,46a8be02-b681-482e-be92-fe0aac01e96d,home-fire-safety-visits-by-london-borough,Home Fire Safety Visits by London Borough,active,public,24-Apr-18,13-Jun-19,Creative Commons Attribution,,London Fire Brigade,,London Fire Brigade,data@london-fire.gov.uk,London Fire Brigade,data@london-fire.gov.uk,Quarterly,,"fire, london fire brigade, hfsv, home fire safety visits, prevention",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ed9dfa59-ec53-443f-a843-15b216b65288,Borough,
https://data.london.gov.uk/dataset/bariatric-incidents-attended-by-lfb,c1c50168-4b18-4d20-94eb-9054f8373dbd,bariatric-incidents-attended-by-lfb,Bariatric incidents attended by LFB,active,public,13-Jul-15,13-Jun-19,UK Open Government Licence (OGL v3),,London Fire Brigade,,LFB Information Management,data@london-fire.gov.uk,LFB Information Management,data@london-fire.gov.uk,Annually,,"obesity, overweight, LFB London Fire Brigade, special-services, bariatric, las, london ambulance service, ambulance",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ed9dfa59-ec53-443f-a843-15b216b65288,Postcode Sector,
https://data.london.gov.uk/dataset/animal-rescue-incidents-attended-by-lfb,2d093611-7c95-4fdb-8e1c-31915fc9bbd9,animal-rescue-incidents-attended-by-lfb,Animal rescue incidents attended by LFB,active,public,22-Dec-15,13-Jun-19,UK Open Government Licence (OGL v3),,London Fire Brigade,,LFB Information Management,data@london-fire.gov.uk,LFB Information Management,data@london-fire.gov.uk,Annually,,"LFB London Fire Brigade, LFB, Emergency response, rescue, special services, animals, animal",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ed9dfa59-ec53-443f-a843-15b216b65288,Postcode Sector,
https://data.london.gov.uk/dataset/young-londoners-fund-projects,16de8822-cd70-479b-8249-2e7a26dca167,young-londoners-fund-projects,Young Londoners Fund Projects,active,public,16-Nov-18,13-Jun-19,UK Open Government Licence (OGL v3),,Greater London Authority (GLA),,Greater London Authority (GLA),datastore@london.gov.uk,Greater London Authority (GLA),datastore@london.gov.uk,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,,
https://data.london.gov.uk/dataset/recorded_crime_summary,6d772cbf-555d-4331-803f-952cf124abde,recorded_crime_summary,Recorded Crime: Geographic Breakdown,active,public,06-Nov-17,13-Jun-19,UK Open Government Licence (OGL v2),,Metropolitan Police Service,,Metropolitan Police Service,,Metropolitan Police Service,,Monthly,https://certificates.theodi.org/datasets/22732/certificate,"crime-data, safestats",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,db7940dd-ee1a-4a68-b874-c34151e16e82,Ward,Pan London
https://data.london.gov.uk/dataset/lfepa-procurement-information---current-contracts,c86263ce-d547-443d-9ee4-a42d33f194d9,lfepa-procurement-information---current-contracts,LFB procurement information - current contracts,active,public,01-Jun-16,13-Jun-19,UK Open Government Licence (OGL v3),,London Fire Brigade,,David Wyatt,david.wyatt@london-fire.gov.uk,David Wyatt,david.wyatt@london-fire.gov.uk,Quarterly,,"LFB London Fire Brigade, spending, contracts, tenders, london fire commissioner",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ed9dfa59-ec53-443f-a843-15b216b65288,Greater London,
https://data.london.gov.uk/dataset/medium-term-economic-forecast,9b16ee6c-4275-4de4-9c0b-d9803dfeb191,medium-term-economic-forecast,Medium Term Economic Forecast,active,public,27-May-14,12-Jun-19,UK Open Government Licence (OGL v2),,Greater London Authority (GLA),,Greater London Authority,,GLA Economics,gordon.douglass@london.gov.uk,Biannually,https://certificates.theodi.org/datasets/23170/certificate,"economic-forecast, household-expenditure, household-income, employment, leo, output, economy",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,Greater London,Greater London
https://data.london.gov.uk/dataset/lfepa-procurement-information-purchase-order-f5-000-to-f10-000,0801f885-03e0-4a2d-9dbd-cf46f4050ee5,lfepa-procurement-information-purchase-order-f5-000-to-f10-000,"LFEPA procurement information - purchase orders £5,000 to £10,000",active,public,07-Apr-15,12-Jun-19,Open Data Commons Attribution License,,London Fire Brigade,,David Wyatt,david.wyatt@london-fire.gov.uk,As author,,,,"LFB London Fire Brigade, LFB, contracts, tenders, spending",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ed9dfa59-ec53-443f-a843-15b216b65288,,
https://data.london.gov.uk/dataset/use-of-force,f69cadfd-d3be-4f19-b488-1bafbd409e2b,use-of-force,Use of Force Dataset,active,public,08-Dec-17,10-Jun-19,Creative Commons Attribution Share-Alike,,Metropolitan Police Service,,Metropolitan Police Service,MetHQMailbox-.DataDevelopmentTeam@met.police.uk,Metropolitan Police Service,MetHQMailbox-.DataDevelopmentTeam@met.police.uk,Monthly,,"Force, Taser, CED, Use of Force, UoF, injury, Public Order",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,db7940dd-ee1a-4a68-b874-c34151e16e82,Borough,
