#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2005-01-01 00:00:00+00:00 2017-06-26 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
SUX,2005-01-01 00:52,-96.3795,42.3917,28.04,8.06,42.32,360.00,10.00,M,30.28,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,18.00,METAR KSUX 010052Z 36010KT 10SM CLR M02/M13 A3028 RMK AO2 SLP269 T10221133
SUX,2005-01-01 01:52,-96.3795,42.3917,26.96,6.98,42.14,30.00,8.00,M,30.28,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,17.90,METAR KSUX 010152Z 03008KT 10SM CLR M03/M14 A3028 RMK AO2 SLP272 T10281139
SUX,2005-01-01 02:52,-96.3795,42.3917,26.06,6.08,41.98,20.00,11.00,M,30.28,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,14.96,METAR KSUX 010252Z 02011KT 10SM CLR M03/M14 A3028 RMK AO2 SLP270 T10331144 50005
SUX,2005-01-01 03:52,-96.3795,42.3917,24.98,6.98,45.74,40.00,11.00,M,30.29,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,13.60,METAR KSUX 010352Z 04011KT 10SM CLR M04/M14 A3029 RMK AO2 SLP274 T10391139
SUX,2005-01-01 04:52,-96.3795,42.3917,24.08,6.98,47.49,40.00,8.00,M,30.30,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,14.36,METAR KSUX 010452Z 04008KT 10SM CLR M04/M14 A3030 RMK AO2 SLP275 T10441139
SUX,2005-01-01 05:52,-96.3795,42.3917,24.08,6.98,47.49,60.00,9.00,M,30.30,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,13.67,METAR KSUX 010552Z 06009KT 10SM CLR M04/M14 A3030 RMK AO2 SLP276 T10441139 11022 21044 400611056 51006
SUX,2005-01-01 06:52,-96.3795,42.3917,24.08,8.96,51.93,70.00,10.00,M,30.28,1026.90,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,13.04,METAR KSUX 010652Z 07010KT 10SM CLR M04/M13 A3028 RMK AO2 SLP269 T10441128
SUX,2005-01-01 07:52,-96.3795,42.3917,23.00,8.96,54.34,70.00,11.00,M,30.27,1026.50,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,11.09,METAR KSUX 010752Z 07011KT 10SM CLR M05/M13 A3027 RMK AO2 SLP265 T10501128
SUX,2005-01-01 08:52,-96.3795,42.3917,23.00,8.96,54.34,90.00,11.00,M,30.28,1026.70,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,11.09,METAR KSUX 010852Z 09011KT 10SM CLR M05/M13 A3028 RMK AO2 SLP267 T10501128 55009
SUX,2005-01-01 09:52,-96.3795,42.3917,21.92,8.96,56.87,80.00,11.00,M,30.25,1025.80,10.00,M,BKN,OVC,   ,M,5500.00,8000.00,M,M,M,M,M,M,M,M,M,9.73,METAR KSUX 010952Z 08011KT 10SM BKN055 OVC080 M06/M13 A3025 RMK AO2 SLP258 T10561128
SUX,2005-01-01 10:52,-96.3795,42.3917,21.92,8.96,56.87,90.00,14.00,M,30.24,1025.60,10.00,M,OVC,   ,   ,M,3300.00,M,M,M,M,M,M,M,M,M,M,8.17,METAR KSUX 011052Z 09014KT 10SM OVC033 M06/M13 A3024 RMK AO2 SLP256 T10561128
SUX,2005-01-01 11:52,-96.3795,42.3917,21.92,8.96,56.87,90.00,15.00,M,30.20,1024.40,10.00,M,OVC,   ,   ,M,2600.00,M,M,M,M,M,M,M,M,M,M,7.71,METAR KSUX 011152Z 09015KT 10SM OVC026 M06/M13 A3020 RMK AO2 SLP244 T10561128 11044 21056 58024
SUX,2005-01-01 12:52,-96.3795,42.3917,23.00,10.04,57.03,100.00,11.00,M,30.23,1025.20,10.00,M,BKN,OVC,   ,M,2400.00,3200.00,M,M,M,M,M,M,M,M,M,11.09,METAR KSUX 011252Z 10011KT 10SM BKN024 OVC032 M05/M12 A3023 RMK AO2 SLP252 T10501122
SUX,2005-01-01 13:52,-96.3795,42.3917,24.08,12.02,59.52,90.00,16.00,M,30.19,1023.80,10.00,M,OVC,   ,   ,M,2400.00,M,M,M,M,M,M,M,M,M,M,10.10,METAR KSUX 011352Z 09016KT 10SM OVC024 M04/M11 A3019 RMK AO2 SLP238 T10441111
SUX,2005-01-01 14:52,-96.3795,42.3917,24.08,15.08,68.09,100.00,16.00,M,30.16,1022.90,10.00,M,OVC,   ,   ,M,1800.00,M,M,M,M,M,M,M,M,M,M,10.10,METAR KSUX 011452Z 10016KT 10SM OVC018 M04/M09 A3016 RMK AO2 SLP229 T10441094 58014
SUX,2005-01-01 15:52,-96.3795,42.3917,24.08,21.02,87.91,100.00,14.00,M,30.15,1022.60,3.00,M,OVC,   ,   ,M,1200.00,M,M,M,BR,M,M,M,M,M,M,10.95,METAR KSUX 011552Z 10014KT 3SM BR OVC012 M04/M06 A3015 RMK AO2 SLP226 T10441061
SUX,2005-01-01 16:52,-96.3795,42.3917,24.98,23.00,92.05,110.00,18.00,M,30.13,1021.80,2.00,23.00,OVC,   ,   ,M,700.00,M,M,M,BR,M,M,M,M,M,M,10.51,METAR KSUX 011652Z 11018G23KT 2SM BR OVC007 M04/M05 A3013 RMK AO2 PRESFR SLP218 T10391050
SUX,2005-01-01 17:52,-96.3795,42.3917,26.96,24.98,92.12,120.00,18.00,M,30.06,1019.50,2.00,22.00,OVC,   ,   ,M,500.00,M,M,M,FZDZ,M,M,M,M,M,M,13.11,METAR KSUX 011752Z 12018G22KT 2SM FZDZ OVC005 M03/M04 A3006 RMK AO2 FZDZB25 PRESFR SLP195 P0000 60000 T10281039 11028 21056 58032
SUX,2005-01-01 18:52,-96.3795,42.3917,28.04,26.06,92.16,120.00,15.00,M,30.04,1018.80,2.00,M,OVC,   ,   ,M,500.00,M,M,M,FZDZ,M,M,M,M,M,M,15.65,METAR KSUX 011852Z 12015KT 2SM FZDZ OVC005 M02/M03 A3004 RMK AO2 SLP188 P0000 T10221033
SUX,2005-01-01 19:52,-96.3795,42.3917,28.94,28.04,96.38,110.00,10.00,M,30.01,1017.90,1.75,M,OVC,   ,   ,M,300.00,M,M,M,FZDZ,M,M,M,M,M,M,19.13,METAR KSUX 011952Z 11010KT 1 3/4SM FZDZ OVC003 M02/M02 A3001 RMK AO2 SLP179 P0000 T10171022
SUX,2005-01-01 20:52,-96.3795,42.3917,30.92,28.94,92.26,130.00,4.00,M,30.01,1017.70,1.75,M,OVC,   ,   ,M,300.00,M,M,M,FZDZ BR,M,M,M,M,M,M,26.16,METAR KSUX 012052Z 13004KT 1 3/4SM FZDZ BR OVC003 M01/M02 A3001 RMK AO2 SLP177 P0000 60000 T10061017 56017
SUX,2005-01-01 21:52,-96.3795,42.3917,30.92,30.02,96.41,10.00,3.00,M,30.02,1018.20,2.00,M,OVC,   ,   ,M,500.00,M,M,M,FZDZ BR,M,M,M,M,M,M,27.45,METAR KSUX 012152Z 01003KT 2SM FZDZ BR OVC005 M01/M01 A3002 RMK AO2 CIG 002V007 SLP182 P0000 T10061011
