Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,Average GCSE capped point scores - 2014
City of London,00AA,E09000001,"8,100",650,"6,250","1,250",355
Barking and Dagenham - Abbey,00ABFX,E05000026,"14,750","3,850","10,150",750,318
Barking and Dagenham - Alibon,00ABFY,E05000027,"10,600","2,700","6,800","1,050",307
Barking and Dagenham - Becontree,00ABFZ,E05000028,"12,700","3,200","8,350","1,100",295
Barking and Dagenham - Chadwell Heath,00ABGA,E05000029,"10,400","2,550","6,400","1,450",293
Barking and Dagenham - Eastbrook,00ABGB,E05000030,"10,750","2,150","7,050","1,550",306
Barking and Dagenham - Eastbury,00ABGC,E05000031,"11,900","3,000","7,750","1,150",316
Barking and Dagenham - Gascoigne,00ABGD,E05000032,"15,850","5,100","9,900",850,301
Barking and Dagenham - Goresbrook,00ABGE,E05000033,"11,450","3,000","7,250","1,250",302
Barking and Dagenham - Heath,00ABGF,E05000034,"11,150","2,900","6,950","1,300",297
Barking and Dagenham - Longbridge,00ABGG,E05000035,"11,900","2,600","7,850","1,450",338
Barking and Dagenham - Mayesbrook,00ABGH,E05000036,"10,550","2,850","6,550","1,150",305
Barking and Dagenham - Parsloes,00ABGJ,E05000037,"10,050","2,550","6,400","1,100",312
Barking and Dagenham - River,00ABGK,E05000038,"11,950","3,150","7,600","1,200",300
Barking and Dagenham - Thames,00ABGL,E05000039,"18,950","6,150","11,850",950,307
Barking and Dagenham - Valence,00ABGM,E05000040,"10,250","2,600","6,450","1,150",303
Barking and Dagenham - Village,00ABGN,E05000041,"11,050","2,750","7,100","1,200",302
Barking and Dagenham - Whalebone,00ABGP,E05000042,"11,150","2,650","7,200","1,300",311
Barnet - Brunswick Park,00ACFX,E05000043,"17,550","3,400","11,350","2,800",339
Barnet - Burnt Oak,00ACFY,E05000044,"19,650","4,750","13,050","1,800",314
Barnet - Childs Hill,00ACFZ,E05000045,"21,100","4,100","14,300","2,650",336
Barnet - Colindale,00ACGA,E05000046,"26,600","6,100","18,550","2,000",308
Barnet - Coppetts,00ACGB,E05000047,"18,050","3,500","12,500","2,000",343
Barnet - East Barnet,00ACGC,E05000048,"17,100","3,550","11,050","2,550",337
Barnet - East Finchley,00ACGD,E05000049,"16,850","3,250","11,300","2,300",350
Barnet - Edgware,00ACGE,E05000050,"17,600","4,050","10,850","2,750",327
Barnet - Finchley Church End,00ACGF,E05000051,"16,800","3,200","10,800","2,800",361
Barnet - Garden Suburb,00ACGG,E05000052,"16,950","3,450","10,500","3,000",369
Barnet - Golders Green,00ACGH,E05000053,"24,950","6,400","16,050","2,500",342
Barnet - Hale,00ACGJ,E05000054,"18,250","4,100","11,500","2,650",326
Barnet - Hendon,00ACGK,E05000055,"19,300","4,150","12,800","2,300",353
Barnet - High Barnet,00ACGL,E05000056,"16,300","2,950","10,500","2,850",353
Barnet - Mill Hill,00ACGM,E05000057,"20,000","4,350","12,800","2,800",353
Barnet - Oakleigh,00ACGN,E05000058,"16,650","3,200","10,550","2,850",347
Barnet - Totteridge,00ACGP,E05000059,"16,900","3,400","10,600","2,900",369
Barnet - Underhill,00ACGQ,E05000060,"17,300","3,400","11,000","2,900",320
Barnet - West Finchley,00ACGR,E05000061,"17,500","3,250","11,950","2,300",369
Barnet - West Hendon,00ACGS,E05000062,"19,250","3,950","13,100","2,150",340
